Influencer ID,Category,Tiktok Category,Percentage,Age
3d_heroes,Art,Art|Technology,27.350345356868765,18-24
3d_heroes,Art,Art|Technology,48.29879764645689,25-34
3d_heroes,Art,Art|Technology,24.35085699667434,35+
ama.beee,Art,Tutorials|Art|Vlog,73.23221702329005,18-24
ama.beee,Art,Tutorials|Art|Vlog,18.601808527417067,25-34
ama.beee,Art,Tutorials|Art|Vlog,8.165974449292888,35+
artbynikkigee,Art,Art,38.30987017049898,18-24
artbynikkigee,Art,Art,35.93930861880181,25-34
artbynikkigee,Art,Art,25.750821210699204,35+
avanoellemosley,Art,Interviews|Art,75.14220428800623,18-24
avanoellemosley,Art,Interviews|Art,17.15202489182751,25-34
avanoellemosley,Art,Interviews|Art,7.70577082016627,35+
blakeobk,Art,Education|Art|Animation_Cartoon,51.07027900867481,18-24
blakeobk,Art,Education|Art|Animation_Cartoon,35.15682510356375,25-34
blakeobk,Art,Education|Art|Animation_Cartoon,13.772895887761436,35+
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,48.33603707995365,18-24
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,34.26419466975666,25-34
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,17.39976825028969,35+
brainwavebtch,Art,Technology|Art,61.423045256132504,18-24
brainwavebtch,Art,Technology|Art,24.38973906083981,25-34
brainwavebtch,Art,Technology|Art,14.187215683027684,35+
chayeimodel,Art,Makeup|Art,69.10812737296888,18-24
chayeimodel,Art,Makeup|Art,22.685946205431826,25-34
chayeimodel,Art,Makeup|Art,8.20592642159929,35+
craftymoms,Art,Family_Parenting|Vlog|Art,21.038104342587886,18-24
craftymoms,Art,Family_Parenting|Vlog|Art,54.54283003346496,25-34
craftymoms,Art,Family_Parenting|Vlog|Art,24.41906562394715,35+
damian.dittmer,Art,Pop Culture|Art,24.164251066991014,18-24
damian.dittmer,Art,Pop Culture|Art,57.63208110588338,25-34
damian.dittmer,Art,Pop Culture|Art,18.203667827125606,35+
emmy_ga,Art,Art,78.58263344207677,18-24
emmy_ga,Art,Art,15.228708266814742,25-34
emmy_ga,Art,Art,6.188658291108489,35+
fidget_.daqueen,Art,Art,46.407686703813816,18-24
fidget_.daqueen,Art,Art,27.419323081769676,25-34
fidget_.daqueen,Art,Art,26.172990214416508,35+
gagekrew,Art,Art,27.958468058542675,18-24
gagekrew,Art,Art,54.7420835223144,25-34
gagekrew,Art,Art,17.29944841914293,35+
haley.likes.drawing,Art,Art,54.470509244197714,18-24
haley.likes.drawing,Art,Art,34.035675473631024,25-34
haley.likes.drawing,Art,Art,11.493815282171262,35+
jaealise,Art,Makeup|Art,47.856498375106796,18-24
jaealise,Art,Makeup|Art,36.57886121735242,25-34
jaealise,Art,Makeup|Art,15.56464040754078,35+
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,22.331800404506694,18-24
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,34.46525264182506,25-34
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,43.202946953668246,35+
jeffcopelandart,Art,Art|Outfit,23.905777988947772,18-24
jeffcopelandart,Art,Art|Outfit,56.69288894048156,25-34
jeffcopelandart,Art,Art|Outfit,19.401333070570672,35+
kadeanselart,Art,Art|Vlog,36.78105544026089,18-24
kadeanselart,Art,Art|Vlog,27.631188852653427,25-34
kadeanselart,Art,Art|Vlog,35.587755707085684,35+
kianasj,Art,Professional Life|Art,73.511006568436,18-24
kianasj,Art,Professional Life|Art,20.342180010651518,25-34
kianasj,Art,Professional Life|Art,6.14681342091248,35+
kyralove14,Art,Vlog|Art,62.85644411836635,18-24
kyralove14,Art,Vlog|Art,28.238363087959566,25-34
kyralove14,Art,Vlog|Art,8.905192793674086,35+
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,29.88975213608963,18-24
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,35.44269078723772,25-34
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,34.66755707667265,35+
magpiejay,Art,Art,41.013750131203544,18-24
magpiejay,Art,Art,43.4908730045134,25-34
magpiejay,Art,Art,15.495376864283056,35+
makeshift_chronicles,Art,Tutorials|Art,67.28633708974253,18-24
makeshift_chronicles,Art,Tutorials|Art,23.182411074160683,25-34
makeshift_chronicles,Art,Tutorials|Art,9.53125183609678,35+
misssie,Art,Art,48.85961925289878,18-24
misssie,Art,Art,38.37696279940041,25-34
misssie,Art,Art,12.763417947700809,35+
mysweetadeline,Art,Other Performance|Makeup|Art,33.618475412103834,18-24
mysweetadeline,Art,Other Performance|Makeup|Art,49.4292796548385,25-34
mysweetadeline,Art,Other Performance|Makeup|Art,16.952244933057663,35+
pandoramonrose,Art,Dance|Art,19.49669662090908,18-24
pandoramonrose,Art,Dance|Art,48.54344867369104,25-34
pandoramonrose,Art,Dance|Art,31.959854705399877,35+
rachelkuperman,Art,Pop Culture|Art|Pets,56.98707506323145,18-24
rachelkuperman,Art,Pop Culture|Art|Pets,30.032794615681404,25-34
rachelkuperman,Art,Pop Culture|Art|Pets,12.980130321087152,35+
rebelrebel911,Art,Art|Vlog,44.57481290647774,18-24
rebelrebel911,Art,Art|Vlog,39.29278998620864,25-34
rebelrebel911,Art,Art|Vlog,16.132397107313622,35+
savannalore,Art,Vlog|Education|Art,65.64149241099587,18-24
savannalore,Art,Vlog|Education|Art,21.708304390524326,25-34
savannalore,Art,Vlog|Education|Art,12.650203198479804,35+
shreddedmilitary,Art,Transition|Art,24.301167327046063,18-24
shreddedmilitary,Art,Transition|Art,40.3372320505829,25-34
shreddedmilitary,Art,Transition|Art,35.361600622371036,35+
shreksdumpster,Art,Comedy|Art|Shoes,77.08325505373111,18-24
shreksdumpster,Art,Comedy|Art|Shoes,16.838059855715038,25-34
shreksdumpster,Art,Comedy|Art|Shoes,6.078685090553844,35+
smiztok,Art,Art|Animation_Cartoon,50.29735152852305,18-24
smiztok,Art,Art|Animation_Cartoon,30.854647309309147,25-34
smiztok,Art,Art|Animation_Cartoon,18.848001162167808,35+
soyluzzo,Art,Art,51.63793443010386,18-24
soyluzzo,Art,Art,37.95937660018644,25-34
soyluzzo,Art,Art,10.402688969709702,35+
stickyartchan,Art,Dance|Art,31.582589307166675,18-24
stickyartchan,Art,Dance|Art,49.047101901951926,25-34
stickyartchan,Art,Dance|Art,19.370308790881392,35+
sugar.columbia,Art,Food Art_Discovery|Art,32.80701924852065,18-24
sugar.columbia,Art,Food Art_Discovery|Art,48.6391946908674,25-34
sugar.columbia,Art,Food Art_Discovery|Art,18.553786060611948,35+
tattooobabyyy,Art,Art,58.402078237919554,18-24
tattooobabyyy,Art,Art,29.88157912918515,25-34
tattooobabyyy,Art,Art,11.7163426328953,35+
theendoftheinternet,Art,Hair|Art,26.88684582743989,18-24
theendoftheinternet,Art,Hair|Art,58.94625176803394,25-34
theendoftheinternet,Art,Hair|Art,14.166902404526166,35+
tiannalasagna,Art,Art,44.96435286743967,18-24
tiannalasagna,Art,Art,38.64580068943905,25-34
tiannalasagna,Art,Art,16.38984644312128,35+
trav_carves,Art,Art|Vlog,17.516112954929035,18-24
trav_carves,Art,Art|Vlog,36.82900445159317,25-34
trav_carves,Art,Art|Vlog,45.654882593477794,35+
will.snell.683,Art,Art,56.090544776415506,18-24
will.snell.683,Art,Art,30.465619172320757,25-34
will.snell.683,Art,Art,13.44383605126374,35+
