Influencer ID,Category,Tiktok Category,Country,Percentage
3d_heroes,Art,Art|Technology,United States,50.263484190948546
3d_heroes,Art,Art|Technology,United Kingdom,7.081666009130361
3d_heroes,Art,Art|Technology,France,5.2119145578538015
ama.beee,Art,Tutorials|Art|Vlog,United States,45.47227640011145
ama.beee,Art,Tutorials|Art|Vlog,United Kingdom,16.47812761214823
ama.beee,Art,Tutorials|Art|Vlog,Canada,3.5697966007244357
artbynikkigee,Art,Art,United States,71.21433458458921
artbynikkigee,Art,Art,United Kingdom,6.026368830784593
artbynikkigee,Art,Art,Canada,3.475008783446439
avanoellemosley,Art,Interviews|Art,United States,59.72573269791044
avanoellemosley,Art,Interviews|Art,United Kingdom,10.277547319068475
avanoellemosley,Art,Interviews|Art,Canada,4.8920488529587685
blakeobk,Art,Education|Art|Animation_Cartoon,United States,86.2876715477805
blakeobk,Art,Education|Art|Animation_Cartoon,United Kingdom,3.1924553458541185
blakeobk,Art,Education|Art|Animation_Cartoon,Canada,2.2855796418473138
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,United States,38.79271756786811
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,Brazil,4.889488219677881
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,Indonesia,4.485502982734206
brainwavebtch,Art,Technology|Art,United States,74.17287083096852
brainwavebtch,Art,Technology|Art,United Kingdom,5.654191566787968
brainwavebtch,Art,Technology|Art,Canada,4.773812305945982
chayeimodel,Art,Makeup|Art,United States,49.56469748195559
chayeimodel,Art,Makeup|Art,United Kingdom,5.695494704966406
chayeimodel,Art,Makeup|Art,France,5.088565996507256
craftymoms,Art,Family_Parenting|Vlog|Art,United States,37.928386610134055
craftymoms,Art,Family_Parenting|Vlog|Art,Mexico,6.409645026967846
craftymoms,Art,Family_Parenting|Vlog|Art,Brazil,3.5699567051460956
damian.dittmer,Art,Pop Culture|Art,United States,73.33312946596944
damian.dittmer,Art,Pop Culture|Art,Mexico,9.976929009986103
damian.dittmer,Art,Pop Culture|Art,United Kingdom,2.5048503443659556
emmy_ga,Art,Art,United States,57.74311531841653
emmy_ga,Art,Art,Mexico,8.60907917383821
emmy_ga,Art,Art,Canada,4.725150602409638
fidget_.daqueen,Art,Art,United States,51.35509885328594
fidget_.daqueen,Art,Art,United Kingdom,10.219222401963519
fidget_.daqueen,Art,Art,Brazil,5.723210799352931
gagekrew,Art,Art,United States,42.955410851430685
gagekrew,Art,Art,Mexico,5.05243729368245
gagekrew,Art,Art,United Kingdom,4.666751110915798
haley.likes.drawing,Art,Art,United States,27.836407908615545
