Influencer ID,Category,Tiktok Category,States,Percentage
3d_heroes,Art,Art|Technology,Texas,12.443584784010316
3d_heroes,Art,Art|Technology,California,10.254253917528663
3d_heroes,Art,Art|Technology,Florida,5.715807473439296
ama.beee,Art,Tutorials|Art|Vlog,California,11.291666666666666
ama.beee,Art,Tutorials|Art|Vlog,Texas,10.778186274509805
ama.beee,Art,Tutorials|Art|Vlog,Florida,5.986519607843137
artbynikkigee,Art,Art,Texas,11.10498026589115
artbynikkigee,Art,Art,California,8.407769007062733
artbynikkigee,Art,Art,Florida,5.898161611965102
avanoellemosley,Art,Interviews|Art,Texas,9.294869206354333
avanoellemosley,Art,Interviews|Art,California,8.156936222450149
avanoellemosley,Art,Interviews|Art,New York,5.815653241372627
blakeobk,Art,Education|Art|Animation_Cartoon,Texas,10.226182864450129
blakeobk,Art,Education|Art|Animation_Cartoon,California,7.927056692242114
blakeobk,Art,Education|Art|Animation_Cartoon,Florida,7.12116368286445
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,Texas,11.099741647072484
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,California,8.815930796249528
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,Florida,5.764318267583965
brainwavebtch,Art,Technology|Art,Texas,10.355133456362244
brainwavebtch,Art,Technology|Art,California,9.802403564837737
brainwavebtch,Art,Technology|Art,Florida,5.2275284691902595
chayeimodel,Art,Makeup|Art,Texas,9.955827092138264
chayeimodel,Art,Makeup|Art,California,8.00492931466905
chayeimodel,Art,Makeup|Art,Florida,7.200444332589886
craftymoms,Art,Family_Parenting|Vlog|Art,California,13.611769219095155
craftymoms,Art,Family_Parenting|Vlog|Art,Texas,13.052775576277758
craftymoms,Art,Family_Parenting|Vlog|Art,Florida,5.820848017806856
damian.dittmer,Art,Pop Culture|Art,California,18.023315077886817
damian.dittmer,Art,Pop Culture|Art,Texas,17.779600233521446
damian.dittmer,Art,Pop Culture|Art,Florida,5.270449343452596
emmy_ga,Art,Art,California,14.89157569208987
emmy_ga,Art,Art,Texas,13.76262155818026
emmy_ga,Art,Art,Florida,5.582361488878125
fidget_.daqueen,Art,Art,California,11.613003336178137
fidget_.daqueen,Art,Art,Texas,10.349910776631235
fidget_.daqueen,Art,Art,New York,6.42718597253472
gagekrew,Art,Art,Texas,11.936570981524945
gagekrew,Art,Art,California,9.336823734729494
gagekrew,Art,Art,Florida,6.205091171691641
haley.likes.drawing,Art,Art,Texas,13.841719658567555
haley.likes.drawing,Art,Art,California,11.637726874200084
haley.likes.drawing,Art,Art,Florida,5.636457084118554
jaealise,Art,Makeup|Art,Texas,11.956103195995379
jaealise,Art,Makeup|Art,Georgia,10.1949899456638
jaealise,Art,Makeup|Art,Florida,8.235463996919524
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,Texas,10.371036928963944
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,California,7.769322837947634
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,Florida,5.361557883333479
jeffcopelandart,Art,Art|Outfit,Jakarta,22.23050657497946
jeffcopelandart,Art,Art|Outfit,East Java,18.153496920278673
jeffcopelandart,Art,Art|Outfit,West Java,10.24595029704945
kadeanselart,Art,Art|Vlog,Texas,10.265862166493825
kadeanselart,Art,Art|Vlog,California,10.008484962760441
kadeanselart,Art,Art|Vlog,Florida,4.958989346657868
kianasj,Art,Professional Life|Art,Texas,10.189399884895098
kianasj,Art,Professional Life|Art,California,8.643331763721028
kianasj,Art,Professional Life|Art,Florida,6.802961335216868
kyralove14,Art,Vlog|Art,Texas,10.82765785524645
kyralove14,Art,Vlog|Art,California,9.453999769133095
kyralove14,Art,Vlog|Art,Florida,6.3501224877191635
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,California,13.504658851818455
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,Texas,12.454914337240758
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,Florida,5.640216411181244
magpiejay,Art,Art,California,13.116728427739544
magpiejay,Art,Art,Texas,12.329274748544202
magpiejay,Art,Art,Florida,5.956855479089465
makeshift_chronicles,Art,Tutorials|Art,California,12.588698014516064
makeshift_chronicles,Art,Tutorials|Art,Texas,12.454890724046116
makeshift_chronicles,Art,Tutorials|Art,Florida,6.647113682133347
misssie,Art,Art,California,13.963262543602657
misssie,Art,Art,Texas,13.8738090617797
misssie,Art,Art,Florida,5.698044802468727
mysweetadeline,Art,Other Performance|Makeup|Art,Texas,10.651416241365794
mysweetadeline,Art,Other Performance|Makeup|Art,California,9.768504275485391
mysweetadeline,Art,Other Performance|Makeup|Art,Florida,5.775382138627714
pandoramonrose,Art,Dance|Art,Texas,10.74487825907668
pandoramonrose,Art,Dance|Art,Georgia,8.347547374932054
pandoramonrose,Art,Dance|Art,Florida,7.312421510374688
rachelkuperman,Art,Pop Culture|Art|Pets,Texas,11.855337690631808
rachelkuperman,Art,Pop Culture|Art|Pets,California,11.05127087872186
rachelkuperman,Art,Pop Culture|Art|Pets,Florida,6.060711692084241
rebelrebel911,Art,Art|Vlog,Texas,11.224026696329254
rebelrebel911,Art,Art|Vlog,California,9.427363737486095
rebelrebel911,Art,Art|Vlog,Florida,6.101001112347052
savannalore,Art,Vlog|Education|Art,California,10.218931965963229
savannalore,Art,Vlog|Education|Art,Texas,8.723305074702337
savannalore,Art,Vlog|Education|Art,New York,5.465003278843951
shreddedmilitary,Art,Transition|Art,Texas,17.399216180944787
shreddedmilitary,Art,Transition|Art,California,16.49262789618364
shreddedmilitary,Art,Transition|Art,Florida,4.974434646706254
shreksdumpster,Art,Comedy|Art|Shoes,Texas,9.945068816890851
shreksdumpster,Art,Comedy|Art|Shoes,California,9.63429965018948
shreksdumpster,Art,Comedy|Art|Shoes,Florida,7.020611231416315
smiztok,Art,Art|Animation_Cartoon,Texas,11.903159635794612
smiztok,Art,Art|Animation_Cartoon,California,10.873460518741334
smiztok,Art,Art|Animation_Cartoon,Florida,6.7619611308852985
soyluzzo,Art,Art,Florida,17.337732639067895
soyluzzo,Art,Art,Texas,12.254472341083673
soyluzzo,Art,Art,New York,10.274784760529979
stickyartchan,Art,Dance|Art,Texas,12.200251294344094
stickyartchan,Art,Dance|Art,California,10.880510430497509
stickyartchan,Art,Dance|Art,Florida,6.086313369393775
sugar.columbia,Art,Food Art_Discovery|Art,Texas,12.375392476391724
sugar.columbia,Art,Food Art_Discovery|Art,California,8.545539199885392
sugar.columbia,Art,Food Art_Discovery|Art,Florida,6.41094516672039
tattooobabyyy,Art,Art,California,20.510984699882307
tattooobabyyy,Art,Art,Texas,17.96684974499804
tattooobabyyy,Art,Art,Florida,4.422322479403688
theendoftheinternet,Art,Hair|Art,Texas,11.565053425518542
theendoftheinternet,Art,Hair|Art,California,8.26000419023675
theendoftheinternet,Art,Hair|Art,New York,6.489629164047769
tiannalasagna,Art,Art,Texas,10.73267773748889
tiannalasagna,Art,Art,California,10.02017579750836
tiannalasagna,Art,Art,New York,5.646401512479366
trav_carves,Art,Art|Vlog,Texas,11.287729079474328
trav_carves,Art,Art|Vlog,California,7.929023871602786
trav_carves,Art,Art|Vlog,Florida,4.854343399430448
will.snell.683,Art,Art,California,11.62124212421242
will.snell.683,Art,Art,Texas,11.066066606660666
will.snell.683,Art,Art,New York,6.827002700270027
