Influencer ID,Category,Tiktok Category,Percentage,Gender
3d_heroes,Art,Art|Technology,48.6876716288481,Female
3d_heroes,Art,Art|Technology,51.31232837115191,Male
ama.beee,Art,Tutorials|Art|Vlog,83.51319147022785,Female
ama.beee,Art,Tutorials|Art|Vlog,16.486808529772144,Male
artbynikkigee,Art,Art,81.63012370207431,Female
artbynikkigee,Art,Art,18.369876297925682,Male
avanoellemosley,Art,Interviews|Art,89.61718467566222,Female
avanoellemosley,Art,Interviews|Art,10.382815324337793,Male
blakeobk,Art,Education|Art|Animation_Cartoon,74.1308190925162,Female
blakeobk,Art,Education|Art|Animation_Cartoon,25.869180907483795,Male
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,92.73508285328212,Female
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,7.264917146717872,Male
brainwavebtch,Art,Technology|Art,71.74309439078122,Female
brainwavebtch,Art,Technology|Art,28.256905609218773,Male
chayeimodel,Art,Makeup|Art,93.19477853125531,Female
chayeimodel,Art,Makeup|Art,6.805221468744699,Male
craftymoms,Art,Family_Parenting|Vlog|Art,87.52589171564208,Female
craftymoms,Art,Family_Parenting|Vlog|Art,12.474108284357936,Male
damian.dittmer,Art,Pop Culture|Art,64.38793913335665,Female
damian.dittmer,Art,Pop Culture|Art,35.612060866643354,Male
emmy_ga,Art,Art,89.22780804488957,Female
emmy_ga,Art,Art,10.77219195511043,Male
fidget_.daqueen,Art,Art,91.73492365939967,Female
fidget_.daqueen,Art,Art,8.265076340600332,Male
gagekrew,Art,Art,64.82951325275798,Female
gagekrew,Art,Art,35.17048674724203,Male
haley.likes.drawing,Art,Art,74.94682967462337,Female
haley.likes.drawing,Art,Art,25.053170325376627,Male
jaealise,Art,Makeup|Art,85.60524673358094,Female
jaealise,Art,Makeup|Art,14.394753266419064,Male
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,56.554476082562196,Female
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,43.445523917437804,Male
jeffcopelandart,Art,Art|Outfit,43.51171454003831,Female
jeffcopelandart,Art,Art|Outfit,56.48828545996169,Male
kadeanselart,Art,Art|Vlog,82.12800607143423,Female
kadeanselart,Art,Art|Vlog,17.871993928565782,Male
kianasj,Art,Professional Life|Art,94.57566826770233,Female
kianasj,Art,Professional Life|Art,5.424331732297672,Male
kyralove14,Art,Vlog|Art,83.73747013381444,Female
kyralove14,Art,Vlog|Art,16.262529866185556,Male
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,84.18149873366663,Female
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,15.818501266333374,Male
magpiejay,Art,Art,69.98755911029959,Female
magpiejay,Art,Art,30.01244088970042,Male
makeshift_chronicles,Art,Tutorials|Art,77.13379052784848,Female
makeshift_chronicles,Art,Tutorials|Art,22.866209472151517,Male
misssie,Art,Art,91.61593273089629,Female
misssie,Art,Art,8.384067269103717,Male
mysweetadeline,Art,Other Performance|Makeup|Art,67.59363747982397,Female
mysweetadeline,Art,Other Performance|Makeup|Art,32.40636252017603,Male
pandoramonrose,Art,Dance|Art,89.13794663048394,Female
pandoramonrose,Art,Dance|Art,10.862053369516056,Male
rachelkuperman,Art,Pop Culture|Art|Pets,83.26913250265319,Female
rachelkuperman,Art,Pop Culture|Art|Pets,16.7308674973468,Male
rebelrebel911,Art,Art|Vlog,73.05493444864474,Female
rebelrebel911,Art,Art|Vlog,26.945065551355263,Male
savannalore,Art,Vlog|Education|Art,89.32475399440362,Female
savannalore,Art,Vlog|Education|Art,10.675246005596378,Male
shreddedmilitary,Art,Transition|Art,63.97101746803248,Female
shreddedmilitary,Art,Transition|Art,36.02898253196752,Male
shreksdumpster,Art,Comedy|Art|Shoes,86.76483116393979,Female
shreksdumpster,Art,Comedy|Art|Shoes,13.235168836060208,Male
smiztok,Art,Art|Animation_Cartoon,61.801727591245815,Female
smiztok,Art,Art|Animation_Cartoon,38.19827240875418,Male
soyluzzo,Art,Art,54.186145346366345,Female
soyluzzo,Art,Art,45.813854653633655,Male
stickyartchan,Art,Dance|Art,72.58664640760081,Female
stickyartchan,Art,Dance|Art,27.413353592399186,Male
sugar.columbia,Art,Food Art_Discovery|Art,86.71789890333358,Female
sugar.columbia,Art,Food Art_Discovery|Art,13.282101096666423,Male
tattooobabyyy,Art,Art,85.7002469822938,Female
tattooobabyyy,Art,Art,14.299753017706196,Male
theendoftheinternet,Art,Hair|Art,47.960305172040336,Female
theendoftheinternet,Art,Hair|Art,52.03969482795966,Male
tiannalasagna,Art,Art,84.4441197717551,Female
tiannalasagna,Art,Art,15.5558802282449,Male
trav_carves,Art,Art|Vlog,63.254435349503794,Female
trav_carves,Art,Art|Vlog,36.74556465049621,Male
will.snell.683,Art,Art,77.5796866558617,Female
will.snell.683,Art,Art,22.420313344138304,Male
