Influencer ID,Category,Tiktok Category,Related Influencer ID,Follower Count, Average View Count
3d_heroes,Art,Art|Technology,valeriiafranklin,17747,25751
ama.beee,Art,Tutorials|Art|Vlog,slightlyghosts,133529,34027
ama.beee,Art,Tutorials|Art|Vlog,sailormoonie_,107563,13181
ama.beee,Art,Tutorials|Art|Vlog,rishi.draws,172620,87810
ama.beee,Art,Tutorials|Art|Vlog,artistkatiesmall,264181,148542
ama.beee,Art,Tutorials|Art|Vlog,the.flightless.artist,137718,40916
ama.beee,Art,Tutorials|Art|Vlog,mimielitasalt,150990,4122
ama.beee,Art,Tutorials|Art|Vlog,memory_chase,456330,4065
ama.beee,Art,Tutorials|Art|Vlog,pro...createeee,114049,19027
ama.beee,Art,Tutorials|Art|Vlog,ejr.art,197521,117387
artbynikkigee,Art,Art,erinkatearcher,27742,19032
artbynikkigee,Art,Art,artistkatiesmall,264181,148542
artbynikkigee,Art,Art,nikkieviore,156088,7534
artbynikkigee,Art,Art,art_by_josey,185863,2901
artbynikkigee,Art,Art,theartge,448931,2109
artbynikkigee,Art,Art,jr_creates,161076,3392
artbynikkigee,Art,Art,douby_seide,153262,9182
artbynikkigee,Art,Art,serendipitytheartist,357434,116939
artbynikkigee,Art,Art,delicatedotsandrea,376370,75520
avanoellemosley,Art,Interviews|Art,jenniferclark0271,169249,1310
avanoellemosley,Art,Interviews|Art,the.flightless.artist,137718,40916
avanoellemosley,Art,Interviews|Art,artobsessedmoron,143634,5142
avanoellemosley,Art,Interviews|Art,clever_kitten,151231,7552
avanoellemosley,Art,Interviews|Art,bigbumbobo,520356,36478
avanoellemosley,Art,Interviews|Art,djaxn,101717,22132
avanoellemosley,Art,Interviews|Art,_procreate..bby,106232,17167
avanoellemosley,Art,Interviews|Art,littlemountainmelody,193609,16288
avanoellemosley,Art,Interviews|Art,leamotion,1797,1840
blakeobk,Art,Education|Art|Animation_Cartoon,kianasj,122059,2587
blakeobk,Art,Education|Art|Animation_Cartoon,2d_rice,112376,2750
blakeobk,Art,Education|Art|Animation_Cartoon,erinkatearcher,27742,19032
blakeobk,Art,Education|Art|Animation_Cartoon,surmalouis,117178,11201
blakeobk,Art,Education|Art|Animation_Cartoon,taytays.art,164122,340569
blakeobk,Art,Education|Art|Animation_Cartoon,homeart6,144188,17881
blakeobk,Art,Education|Art|Animation_Cartoon,jordynkinsley,105881,82701
blakeobk,Art,Education|Art|Animation_Cartoon,firefistmaxx23,135807,12041
blakeobk,Art,Education|Art|Animation_Cartoon,madisonisartsy_,187154,341657
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,marvinmarioo,176165,49708
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,krismile_wig,322366,14866
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,michaila.c,202873,46659
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,kasiarose.makeup,33054,1951
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,princessjewelsllc,154765,5381
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,girl.you.fancy,113584,1580
